'FP1-*SD', 'FP2-*SD', 'F3-*SD', 'F4-*SD', 'C3-*SD', 'C4-*SD', 'P3-*SD', 'P4-*SD', 'O1-*SD', 'O2-*SD', 'F7-*SD', 'F8-*SD', 'T7-*SD', 'T8-*SD', 'P7-*SD', 'P8-*SD', 'FZ-*SD', 'CZ-*SD', 'PZ-*SD'
0.306778,-1.0235,-0.963402,-1.11972,0.00792358,1.85204,0.327544,1.23922,-1.20278,-0.763788,-0.445434,-0.111417,0.185725,0.375602,-1.34279,0.914843,0.0242936,0.363534,0.994938
-0.0392309,-0.681207,-1.01102,-1.11836,-0.0714162,1.90889,0.334124,1.32799,-0.937925,-0.607944,0.0647585,0.158347,-0.0622083,-0.180028,-1.21352,1.12482,-0.293208,0.176822,0.825773
0.0442422,-0.59618,-1.12389,-0.273104,-0.190414,1.38842,0.308037,1.30415,-0.879958,-0.926377,0.130486,0.0549066,0.248805,0.0534777,-1.00662,0.704745,-0.42878,0.151188,0.855817
0.117551,-0.807327,-1.32042,-0.0348944,-0.054359,1.00023,0.231558,1.12183,-0.621547,-0.865697,0.040406,-0.058894,0.189243,0.187682,-0.68763,0.767418,-0.368622,0.150329,0.781964
-0.152304,-0.789573,-1.37791,-0.255113,-0.132111,0.473977,0.0883642,0.741982,-0.672588,-0.814535,0.204715,-0.154057,0.445496,0.937216,-0.53459,0.750246,-0.354358,0.125491,0.752188
-0.445008,-0.402578,-1.03359,-0.420871,-0.0452618,0.406374,-0.0574826,0.804504,-0.560176,-0.877634,0.670786,-0.0145775,0.266409,0.623035,-0.508678,0.806836,-0.588693,0.0274191,0.631577
-0.388614,-0.311981,-0.905942,-0.00805429,-0.292923,0.0709853,-0.353018,0.660706,-0.751762,-1.03846,0.896704,-0.120577,0.954354,0.684932,-0.581309,0.835821,-0.60488,0.192521,0.66209
0.352031,-0.383846,0.104129,-0.217635,-0.314079,-0.481403,-0.12632,0.474023,-0.581011,-0.877645,1.17849,-0.170577,-0.995189,1.10986,-0.244452,0.873744,-0.474735,0.577053,0.733629
0.154022,-0.56459,0.240747,-0.572542,-0.488276,-0.159264,-0.355778,0.53844,-0.405712,-0.540235,0.654107,-0.322058,-0.0871371,0.565922,-0.214971,1.21705,-0.454362,0.558483,0.380143
0.251278,-0.354727,0.59937,-0.36924,-0.72684,-0.562007,-0.487063,0.59889,-0.381266,-0.650121,0.745459,-0.0932566,-0.0141672,0.92966,-0.337057,0.635149,-0.368188,0.514362,0.449117
0.453151,-0.00079925,1.02778,-0.1811,-0.943017,-0.571633,-0.476938,0.69859,-0.270207,-0.535683,0.968812,0.22919,-0.428154,0.360103,-0.620905,0.531914,-0.268866,0.538047,0.444506
0.103157,0.258038,1.03052,-0.647564,-1.23507,-0.969425,-0.726094,0.725895,0.0935572,-0.256451,0.903246,0.491172,-0.206187,0.0523452,-0.53547,0.44886,0.0746213,0.506041,0.326141
0.801883,0.23465,1.31662,0.369203,-1.40029,-1.58787,-0.79387,0.574692,0.508581,0.0607959,0.889838,0.583882,-1.28472,-0.0842086,0.0756787,0.205308,0.157974,0.452153,0.273044
0.312389,0.126556,1.10375,-0.218318,-1.71287,-1.31945,-0.857698,0.650084,0.480666,0.123717,1.09629,1.00213,-0.588281,-0.317461,-0.689614,0.105434,0.220395,0.541505,0.477199
0.428227,0.186703,1.60217,-0.124849,-1.818,-1.49122,-0.855066,0.560103,0.71066,0.0807817,1.46743,0.99415,-0.991469,-0.231107,-0.535294,0.0488601,0.279901,0.230752,0.538997
-0.27729,0.889086,1.37424,-0.417748,-1.82582,-1.14737,-0.744858,0.499587,0.759061,0.206694,1.57145,1.06896,-0.845558,-0.765254,-0.532446,0.162109,0.156609,0.0844513,0.309526
-0.329333,0.757508,0.80999,0.0419821,-1.91729,-1.59312,-0.738469,0.243065,0.902911,0.206694,1.45287,0.803735,-0.500937,-0.170039,-0.507526,-0.138269,0.399999,0.065692,0.321883
-0.231752,0.440885,0.21031,0.149798,-1.62677,-1.91277,-0.728174,0.0534508,0.78799,0.0875621,1.31152,0.635258,0.0565825,0.580982,-0.32811,-0.195683,0.332493,0.00998034,0.337978
-0.362349,0.614341,0.055777,-0.277236,-1.30345,-1.59323,-0.434634,0.0649105,0.892777,0.0224129,1.91531,0.681569,-0.994511,0.379557,0.0302887,-0.207663,0.1554,0.0222,0.213493
-1.07364,0.844493,-0.288414,-0.19639,-1.53737,-1.52386,-0.584089,-0.16543,0.685232,0.0396248,2.09188,0.942756,0.236881,0.41899,-0.259497,-0.188962,-0.125945,-0.292745,0.13845
-1.27563,1.1232,-0.36198,-0.134186,-1.37426,-1.50524,-0.387554,-0.409897,0.632174,0.040988,1.98162,1.14007,0.176801,0.37998,-0.169901,-0.0597342,-0.202197,-0.41316,-0.0251149
-1.01668,0.864895,-0.117541,0.0624457,-0.942069,-1.50428,-0.196134,-0.487515,0.520231,-0.0882793,1.74723,1.27544,-0.0654523,0.175783,0.114859,-0.0219119,-0.268091,-0.391781,0.0724944
-1.40188,1.17348,-0.318885,-0.00593961,-0.968152,-1.45515,-0.497167,-0.608833,0.343645,-0.119977,1.69454,1.31822,0.253808,-0.0583819,0.146469,0.185397,-0.33352,-0.570759,0.1046
-1.46519,1.32613,-0.244515,-0.243499,-1.14567,-1.1786,-0.658615,-0.721998,0.38573,-0.17179,1.55992,1.063,0.99484,0.170797,0.283311,0.26336,-0.342016,-0.883754,0.0559132
-1.47856,1.23736,-0.16298,-0.253259,-1.01672,-1.27743,-0.77275,-1.03225,0.454922,-0.18515,1.80968,0.956699,0.479667,0.71277,0.74531,0.309013,-0.25885,-1.09841,-0.0156088
-1.70837,1.41655,-0.324745,-0.344385,-1.32759,-1.643,-0.904757,-1.01352,0.400041,-0.13381,1.37196,0.886279,1.1586,1.0464,0.857969,0.525244,0.0182158,-1.18671,-0.069242
-1.35549,1.14579,-0.121391,-0.62928,-1.24936,-2.19754,-0.609136,-1.19167,0.45346,0.0243806,1.52276,0.857264,-0.0609683,1.46175,0.972789,0.795226,0.47408,-1.13198,-0.161486
-1.32158,1.13009,-0.568615,-0.0629707,-1.45194,-1.73251,-1.07911,-0.936097,0.411561,0.19586,1.25369,0.637287,0.836371,0.539284,0.867332,1.10068,0.514857,-1.22184,-0.240938
-1.31223,1.05899,-0.297924,-0.0169359,-1.45902,-1.48151,-1.18149,-0.718472,0.412608,0.21383,1.09189,0.519939,0.932049,0.580391,0.690269,1.28021,0.517213,-1.20266,-0.432838
-1.19972,1.20669,-0.0628934,-0.143654,-1.13432,-1.57108,-1.11891,-0.613417,0.303883,0.277095,1.4057,0.483371,0.376751,0.457054,0.642302,1.46267,0.545246,-0.968349,-0.605255
-0.961867,1.22879,-0.0304465,0.231554,-0.890471,-1.30664,-1.26713,-0.295388,0.246385,0.131161,1.17664,0.612226,0.278477,-0.162297,0.703857,1.54334,0.461056,-0.968307,-0.622708
-1.14748,1.34929,-0.304319,0.145992,-0.930271,-1.17943,-1.55322,-0.261251,0.302563,0.184693,0.972063,0.336672,1.00783,0.201491,0.58995,1.43461,0.375006,-1.12903,-0.772257
-0.870994,1.03493,-0.0288058,0.0172242,-0.699928,-1.07882,-1.45004,-0.235885,0.12613,0.104525,0.819405,0.200599,0.905044,0.962062,0.314681,1.47279,0.224302,-1.2202,-0.648896
-0.770932,0.753848,-0.216656,-0.0225967,-0.566834,-1.06723,-1.30651,-0.0832065,0.112723,0.119485,0.28484,0.562985,1.02725,0.661691,0.303541,1.43763,0.0607602,-1.09482,-0.595699
-0.238338,0.733318,0.213859,0.0685619,-0.378778,-0.95908,-0.957653,-0.000233641,0.168695,-0.0508208,0.481599,0.687428,-0.449017,0.733424,0.575273,1.11488,0.217759,-1.02232,-0.525333
-0.544664,0.54145,-0.530208,0.540752,-0.553235,-0.779118,-1.22432,0.0548612,0.0381422,0.0961918,0.145065,0.411539,1.3914,0.0147714,-0.0440223,1.49787,0.178285,-0.915739,-0.579536
-0.456678,1.18059,-0.404272,0.318061,-0.301381,-0.778703,-0.89754,0.0537593,0.358535,0.122022,0.596194,0.541877,-0.483563,0.100669,0.517271,0.873408,0.0946531,-0.777382,-0.582018
-0.431062,0.839469,-0.475293,0.189749,-0.0535772,-0.925472,-0.874085,0.0530982,0.41323,0.236543,0.191206,0.523663,-0.295161,0.692588,0.520328,0.864318,-0.254137,-0.760761,-0.739564
-1.01468,1.11808,-1.03248,0.151913,-0.149785,-0.730352,-0.988771,0.0647563,0.243974,0.222389,-0.315553,0.775144,1.50325,0.147015,-0.0035938,1.00707,-0.854751,-0.549568,-0.740034
-0.374628,0.965798,-0.232628,-0.0857767,0.139596,-1.05741,-0.56212,-0.162036,0.41431,0.171061,0.343157,0.597489,-0.816087,0.860902,0.223533,0.751808,-0.963314,-0.0483933,-0.646046
-0.298189,0.806595,-0.0767226,-0.269753,0.0488846,-0.93413,-0.652608,-0.313767,0.43485,0.165454,0.460639,0.859241,-0.848096,0.971629,0.147541,0.731326,-1.25368,0.220125,-0.697281
-0.0282123,0.900097,0.427626,-0.316634,0.00771037,-0.90102,-0.824479,-0.390019,0.597725,0.512467,0.514998,0.985025,-1.02913,0.148384,0.0758228,1.22565,-1.62635,0.306837,-0.712002
0.514464,0.700909,0.783972,-0.0288432,0.35229,-1.05304,-0.853155,-0.545937,0.806524,0.339968,0.447433,0.5869,-1.57328,0.804837,-0.0176141,0.72022,-1.6181,0.458189,-0.647219
0.491207,0.957097,0.716266,0.249545,0.206782,-1.53753,-0.859842,-0.819692,1.01966,0.488356,0.717129,0.424176,-2.00581,1.06033,0.0790878,0.603963,-1.59571,0.74989,-0.695806
-0.104326,0.952523,1.11845,-0.60693,-0.348643,-1.00561,-1.24353,-0.542543,1.01471,0.775743,0.671432,0.602501,-1.20781,-0.137535,-0.194405,1.04642,-1.73442,0.719959,-0.583745
0.340159,0.811796,1.45739,-0.266695,-0.65193,-0.799421,-1.15313,-0.506489,1.32688,1.0383,0.90472,0.508044,-1.55845,-0.700907,0.102215,0.982893,-1.82611,0.834945,-0.710912
0.0894958,1.13612,0.971421,-0.251665,-0.937141,-0.813722,-1.11267,-0.896583,1.28184,1.06338,0.787602,0.116396,-0.69189,-0.0438459,-0.131745,0.53798,-1.65544,0.844817,-0.740855
0.0669706,1.41297,1.15013,-0.326264,-0.973696,-0.577608,-0.811318,-0.755298,1.34635,1.00548,0.539391,0.217507,-1.28825,-0.47428,0.0422284,0.672467,-1.58011,0.667957,-0.6242
0.645387,0.990582,1.03886,0.182819,-0.952825,0.0904863,-0.650443,-0.568306,1.62463,1.08448,-0.103206,-0.0600412,-1.62086,-1.10577,0.200549,0.548918,-1.61075,0.644021,-0.483973
0.902027,0.800608,0.811195,0.685884,-0.794619,-0.023449,-0.637559,-0.56868,1.60285,0.861779,-0.127356,-0.415474,-1.59608,-0.950858,0.45314,0.554951,-1.74204,0.565777,-0.152466
0.201674,1.15266,0.448086,0.386771,-0.932403,0.135657,-0.875189,-0.43394,1.34634,0.86767,-0.299722,-0.298408,0.064844,-1.29572,-0.138356,0.686295,-1.82285,0.31694,-0.281595
0.780131,1.04578,1.16326,0.197687,-0.254308,0.00852698,-0.375964,-0.627125,1.68737,0.716959,0.968913,-0.179525,-3.1556,-0.173605,0.427836,-0.0738315,-1.85414,0.302226,-0.161788
0.443758,1.12991,1.32003,-0.240245,-0.681615,0.178282,-0.596995,-0.347375,1.54589,0.304335,0.466515,0.299645,-1.93319,-0.897869,0.377804,-0.169622,-1.42662,0.242657,0.0228514
0.0677025,1.72931,1.74161,-0.950906,-0.85792,-0.0464076,-0.554075,-0.108594,1.44996,0.32003,1.0405,0.161136,-2.17949,-0.912253,0.514519,-0.120206,-1.31344,0.131297,0.143044
0.316861,1.42865,2.13579,-0.520976,-0.332084,-0.102366,-0.522108,0.241589,1.40447,0.0506134,1.035,0.247139,-2.5787,-0.857169,0.864099,-0.554248,-1.39766,-0.055897,0.146062
0.0533499,1.73951,2.5661,-0.844456,-0.129316,-0.382764,-0.490438,0.476161,1.27321,-0.182364,0.765107,0.198022,-2.50254,-1.3303,0.872838,-0.684265,-1.20633,0.0112379,0.274872
